Send message {Progress, MessagePack, 4 bytes}
Send message {IgnoredNodes, MessagePack, 1776 bytes}
Send message {NodeScanStatus, MessagePack, 62 bytes}
Send message {NodeScanStatus, MessagePack, 51 bytes}
Send message {NodeScanStatus, MessagePack, 55 bytes}
Send message {NodeScanStatus, MessagePack, 60 bytes}
Send message {NodeScanStatus, MessagePack, 53 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 51 bytes}
Send message {NodeScanStatus, MessagePack, 57 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 55 bytes}
Send message {NodeScanStatus, MessagePack, 53 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 55 bytes}
Send message {NodeScanStatus, MessagePack, 53 bytes}
Send message {NodeScanStatus, MessagePack, 60 bytes}
Send message {NodeScanStatus, MessagePack, 64 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 64 bytes}
Send message {NodeScanStatus, MessagePack, 64 bytes}
Send message {IssueDetected, MessagePack, 270 bytes}
Send message {IssueDetected, MessagePack, 270 bytes}
Send message {IssueDetected, MessagePack, 289 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 64 bytes}
Send message {NodeScanStatus, MessagePack, 64 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 64 bytes}
Send message {NodeScanStatus, MessagePack, 61 bytes}
Send message {IssueDetected, MessagePack, 591 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 57 bytes}
Send message {NodeScanStatus, MessagePack, 61 bytes}
Send message {IssueDetected, MessagePack, 757 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 61 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 61 bytes}
Send message {NodeScanStatus, MessagePack, 55 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 66 bytes}
Send message {NodeScanStatus, MessagePack, 61 bytes}
Send message {NodeScanStatus, MessagePack, 70 bytes}
Send message {IssueDetected, MessagePack, 737 bytes}
Send message {IssueDetected, MessagePack, 764 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 70 bytes}
Send message {NodeScanStatus, MessagePack, 70 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 53 bytes}
Send message {NodeScanStatus, MessagePack, 66 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 70 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 61 bytes}
Send message {NodeScanStatus, MessagePack, 72 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 66 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 72 bytes}
Send message {IssueDetected, MessagePack, 1156 bytes}
Send message {IssueDetected, MessagePack, 965 bytes}
Send message {IssueDetected, MessagePack, 782 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {NodeScanStatus, MessagePack, 66 bytes}
Send message {Progress, MessagePack, 4 bytes}
Send message {ScanDone, ByteArray, 0 bytes}
Elapsed time of the 'Scan' stage: 00:00:01.2903246
Send message {Progress, MessagePack, 4 bytes}
Send message {FinalizeDone, ByteArray, 0 bytes}
Elapsed time of the 'Finalize' stage: 00:00:00.0040458
Core was stopped due to an error
